*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 191    37    1000    8782   39120       0   39120   38884   236.0    8.00   876.5  3893.4    0.00  3893.4  3885.4    7.98
 2020 192    38    1000    8782   39116       0   39116   38883   233.7    8.00   876.5  3893.2    0.00  3893.2  3885.2    7.93
 2020 193    39    1000    8782   39113       0   39113   38881   231.4    8.00   876.4  3892.9    0.00  3892.9  3885.1    7.87
 2020 194    40    1000    8782   39109       0   39109   38880   229.1    8.00   876.4  3892.7    0.00  3892.7  3884.9    7.82
 2020 195    41    1000    8782   39106       0   39106   38879   226.9    8.00   876.4  3892.5    0.00  3892.5  3884.7    7.77
 2020 196    42    1000    8782   39102       0   39102   38877   224.9    8.00   876.4  3892.3    0.00  3892.3  3884.6    7.72
 2020 197    43    1000    8782   39097       0   39097   38876   220.2    8.00   876.4  3892.1    0.00  3892.1  3884.4    7.64
 2020 198    44    1000    8782   39091       0   39091   38875   216.0    8.00   876.3  3891.8    0.00  3891.8  3884.3    7.57
 2020 199    45    1000    8783   39087       0   39087   38874   212.3    8.00   876.3  3891.6    0.00  3891.6  3884.1    7.51
 2020 200    46    1000    8783   39080       0   39080   38873   206.4    8.00   876.3  3891.3    0.00  3891.3  3883.9    7.40
 2020 201    47    1000    8783   39073       0   39073   38873   200.2    8.00   876.3  3891.0    0.00  3891.0  3883.8    7.27
 2020 202    48    1000    8783   39066       0   39066   38872   193.7    8.00   876.3  3890.7    0.00  3890.7  3883.6    7.13
 2020 203    49    1000    8784   39058       0   39058   38871   187.4    8.00   876.3  3890.4    0.00  3890.4  3883.5    6.98
 2020 204    50    1000    8784   39052       0   39052   38870   182.1    8.00   876.3  3890.1    0.00  3890.1  3883.3    6.85
 2020 205    51    1000    8784   39046       0   39046   38869   177.4    8.00   876.2  3889.9    0.00  3889.9  3883.1    6.73
 2020 206    52    1000    8784   39041       0   39041   38868   173.2    8.00   876.2  3889.6    0.00  3889.6  3883.0    6.62
 2020 207    53    1000    8784   39036       0   39036   38867   169.2    8.00   876.2  3889.3    0.00  3889.3  3882.8    6.51
 2020 208    54    1000    8784   39031       0   39031   38865   165.4    8.00   876.2  3889.0    0.00  3889.0  3882.6    6.41
 2020 209    55    1000    8784   39025       0   39025   38864   161.2    8.00   876.1  3888.7    0.00  3888.7  3882.4    6.29
 2020 210    56    1000    8784   39020       0   39020   38863   157.0    8.00   876.1  3888.4    0.00  3888.4  3882.2    6.18
 2020 211    57    1000    8784   39014       0   39014   38861   152.7    8.00   876.1  3888.1    0.00  3888.1  3882.1    6.05
 2020 212    58    1000    8784   39009       0   39009   38860   149.1    8.00   876.1  3887.8    0.00  3887.8  3881.9    5.95
 2020 213    59    1000    8784   39005       0   39005   38859   145.6    8.00   876.1  3887.6    0.00  3887.6  3881.7    5.84
 2020 214    60    1000    8784   39000       0   39000   38858   142.3    8.00   876.0  3887.3    0.00  3887.3  3881.6    5.74
 2020 215    61    1000    8784   38996       0   38996   38857   139.4    8.00   876.0  3887.1    0.00  3887.1  3881.4    5.65
