*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2020 266   112   220   165      4    121    184    16   125   179    0.00   0.0   0.0   0.00   0.124   0.095   0.089   0.088   0.088   0.078   0.078   0.132   0.260
 2020 267   113   218   163      4    122    184    16   125   179    0.00   0.0   0.0   0.00   0.105   0.091   0.088   0.088   0.088   0.078   0.078   0.132   0.260
 2020 268   114   217   162      4    123    184    16   125   179    0.00   0.0   0.0   0.00   0.096   0.088   0.088   0.088   0.088   0.078   0.078   0.132   0.260
 2020 269   115   223   167      4    123    184    17   130   179    0.00   0.0   0.0   0.00   0.149   0.100   0.092   0.090   0.089   0.079   0.078   0.132   0.260
 2020 270   116   220   165      4    126    184    17   130   179    0.00   0.0   0.0   0.00   0.118   0.093   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 271   117   219   163      4    127    184    17   130   179    0.00   0.0   0.0   0.00   0.102   0.090   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 272   118   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.094   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 273   119   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.090   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 274   120   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 275   121   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 276   122   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 277   123   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 278   124   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 279   125   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 280   126   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 281   127   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 282   128   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 283   129   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 284   130   218   163      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 285   131   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 286   132   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 287   133   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 288   134   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 289   135   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260
 2020 290   136   218   162      4    128    184    17   130   179    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.089   0.079   0.078   0.132   0.260

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   2        : 20 RAINFED BRAGG          CRGRO047 UFGA7801    2
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  2   : 20 RAINFED BRAGG          CRGRO047
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2020 154     0   214   158      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.086   0.086   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 155     1   214   158      0      0      0     0     0    90    0.00   0.0   0.0   0.00   0.086   0.086   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 156     2   214   159      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.088   0.087   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 157     3   211   156      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.079   0.084   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 158     4   211   156      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.073   0.083   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 159     5   211   155      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.068   0.083   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 160     6   210   155      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.063   0.082   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 161     7   222   167      0      0     13     0     0   180    0.00   0.0   0.0   0.00   0.160   0.120   0.096   0.090   0.087   0.076   0.075   0.129   0.256
 2020 162     8   216   161      0      3     13     0     0   180    0.00   0.0   0.0   0.00   0.112   0.099   0.089   0.087   0.087   0.076   0.076   0.129   0.257
